대여소번호,대여소명,거치대수,주소,위도,경도,구
1431.0,중랑구청 사거리,10,서울특별시 중랑구 봉화산로 194 중랑구 신내동 561,37.60649872,127.09545135,중랑구
1433.0,중화역 2번출구,10,서울특별시 중랑구 동일로 지하 797 중랑구 중화동 50-3,37.60207748,127.07958221,중랑구
1434.0,홈플러스 면목동점,15,서울특별시 중랑구 사가정로 332 홈플러스 면목동점,37.57986832,127.08236694,중랑구
1435.0,능산삼거리,15,서울특별시 중랑구 용마산로 644 능산삼거리,37.60868073,127.10079193,중랑구
1436.0,영풍마드레빌,15,서울특별시 중랑구 용마산로129가길 41 영풍마드레빌,37.60588074,127.10063171,중랑구
1437.0,늘푸른공원 앞,15,서울특별시 중랑구 동일로 594 늘푸른공원 앞,37.5834198,127.07992554,중랑구
1438.0,홈플러스 신내점 앞,15,서울특별시 중랑구 신내로 지하 232 홈플러스 신내점 앞,37.61616898,127.09348297,중랑구
144.0,공덕역 8번출구,10,서울특별시 마포구 공덕동 438-5 공덕역 8번출구,37.5435791,126.95132446,마포구
1440.0,하나은행 면목지점,10,서울특별시 중랑구 동일로 628 하나은행,37.58637238,127.0800705,중랑구
1441.0,신내능말공원,15,서울특별시 중랑구 용마산로136길 33 신내능말공원,37.61671066,127.11073303,중랑구
1442.0,(구)신한은행 중랑교지점,8,서울특별시 중화동 50-8 (구)신한은행 중랑교지점,37.59859085,127.07981873,중랑구
1443.0,구립망우청소년독서실,10,서울특별시 중랑구 망우동 534-23 구립망우청소년독서실,37.59552002,127.09877777,중랑구
1444.0,면목4치안센터,10,서울특별시 면목동 646-4 면목4치안센터,37.57402802,127.08054352,중랑구
1445.0,용마지구대,10,서울특별시 면목동 197-5 용마지구대,37.5799408,127.07939911,중랑구
1446.0,중랑전화국 교차로,10,서울특별시 중랑구 면목동 282-8 중랑전화국 교차로,37.59130096,127.0803299,중랑구
1447.0,면목역 3번출구,15,서울특별시 면목동 120-2 면목역 3번출구,37.58890152,127.08728027,중랑구
1448.0,코스트코 상봉점,15,서울특별시 상봉동 160-3 코스트코 상봉점,37.59732056,127.08979797,중랑구
1449.0,상봉역 1번출구,15,서울특별시 중랑구 망우로 297 상봉역 1번출구,37.59655762,127.08583832,중랑구
145.0,공덕역 5번출구,9,서울특별시 마포구 공덕동 237-9 공덕역 5번출구,37.54425049,126.95163727,마포구
